Id;Atleta;Pos.;Tempo;Anno;Note
1;Giovanni Moretto;1;-;1992;Amatori
2;Luigi De Vito;2;-;1992;Giovanissimi
3;Canio Di Napoli;3;-;1992;Amatori
4;Jerome Traglia;4;-;1992;Amatori
5;Alfredo Lanzetta;5;-;1992;Giovanissimi
6;Maurizio Massascusa;6;-;1992;Giovanissimi
7;Daniel Baur;7;-;1992;Giovanissimi
8;Celestiano Cavaliere;8;-;1992;Giovanissimi
9;Michele Dell'Angelo;9;-;1992;Giovanissimi
10;Francesco Napolillo;10;-;1992;Giovanissimi
11;Angelo Salerno;11;-;1992;Amatori
12;Vincenzo Maffucci;12;-;1992;Giovanissimi
13;Antonio Traglia;13;-;1992;Amatori
14;Antonio Del Sordo;14;-;1992;Amatori
15;Amato Prudente;15;-;1992;Amatori
16;Vincenzo Pepe;16;-;1992;Amatori
17;Generoso Della Polla;17;-;1992;Amatori
18;Giuseppe Mongelluzzo;18;-;1992;Giovanissimi
19;Stefano Quaresimale;19;-;1992;Amatori
20;Andrea Marano;20;-;1992;Giovanissimi
21;Giuseppe Molinario;21;-;1992;Giovanissimi
22;Luigi Grosso;22;-;1992;Amatori
23;Giovanni Rullo;23;-;1992;Giovanissimi
24;Michele Bicchetti;24;-;1992;Irriducibili
25;Raffaele Faia;25;-;1992;Giovanissimi
26;Antonio Carbonara;26;-;1992;Amatori
27;Fioravante Del Giudice;27;-;1992;Amatori
28;Giovanni Palmieri;28;-;1992;Amatori
29;Luigi Cavaliere;29;-;1992;Irriducibili
30;Salvatore Esposito;30;-;1992;Amatori
31;Amato Natale;31;-;1992;Amatori
32;Rossella Della Vecchia;32;-;1992;Femminile
33;Raffaella Gaudioso;33;-;1992;Femminile
34;Francesca Berardesca;34;-;1992;Femminile
35;Antonio Del Giudice;35;-;1992;Irriducibili
36;Vincenzo Mongelli;36;-;1992;Irriducibili
37;Vincenzo Roberto;37;-;1992;Giovanissimi
38;Benedetta Russo;38;-;1992;Femminile
39;Alessandra Lanzetta;39;-;1992;Femminile
40;Anna Conte;40;-;1992;Femminile
41;Gelsomino Merola;1;37'43'';1996;
2;Luigi De Vito;2;41'53'';1996;
42;Danilo Merola;3;42'45'';1996;
14;Antonio Del Sordo;4;45'58'';1996;
8;Celestiano Cavaliere;5;46'27'';1996;
154;Nicola D'Auria;6;47'41'';1996;
43;Francesco Biancaniello;7;49'02'';1996;
9;Michele Dell'Angelo;8;50'00'';1996;
13;Antonio Traglia;9;51'10'';1996;
44;Mario Capaldo;10;53'03'';1996;
15;Amato Prudente;11;56'24'';1996;
45;Luigi D'Avanzo;12;56'37'';1996;
17;Generoso Della Polla;13;59'10'';1996;
46;Giuseppe Vivolo;14;60'07'';1996;
47;Amato Della Vecchia;15;60'50'';1996;
48;Filomena Pepe;16;60'51'';1996;
49;Marco Natale;17;63'02'';1996;
50;Giuliano Del Sordo;18;63'03'';1996;
30;Salvatore Esposito;19;65'25'';1996;
26;Antonio Carbonara;20;70'13'';1996;
51;Michela Meluzio;21;72'00'';1996;
52;Fabio Pieributi;22;74'21'';1996;
53;Franco Fasano;23;75'27'';1996;
54;Davide Contino;24;75'28'';1996;
55;Maria Rosaria Intoccia;25;76'20'';1996;
56;Gianfranco Pepe;26;76'47'';1996;
58;Palmina Avossa;27;F.T.M.;1996;
57;Maria Luisa De Riu;27;F.T.M.;1996;
60;Concetta Conte;28;Rit.;1996;
62;Patrizia Gaudiello;28;Rit.;1996;
63;Patrizia Vigilante;28;Rit.;1996;
61;Generoso Della Fortuna;28;Rit.;1996;
59;Claudio Del Sordo;28;Rit.;1996;
41;Gelsomino Merola;1;37'36'';1997;
11;Angelo Salerno;2;38'25'';1997;
64;Ludovico Palmieri;3;41'00'';1997;
65;Annibale Petoia;4;43'25'';1997;
66;Vincenzo Farina;5;44'36'';1997;
14;Antonio Del Sordo;6;45'41'';1997;
67;Pasquale Ceres;7;46'39'';1997;
154;Nicola D'Auria;8;46'40'';1997;
68;Carmelo Cantillo;9;47'28'';1997;
69;Antonio Schiavone;10;47'41'';1997;
70;Donato Ceres;11;48'39'';1997;
71;Armando Quaresimale;12;49'34'';1997;
72;Osvaldo Fraschetti;13;50'28'';1997;
44;Mario Capaldo;14;51'43'';1997;
15;Amato Prudente;15;55'09'';1997;
73;Raffaele Palmieri;16;55'27'';1997;
47;Amato Della Vecchia;17;56'15'';1997;
74;Vittorio Lombardi;18;56'32'';1997;
75;Mahmood Argemandy;19;56'55'';1997;
76;Giuseppe Rosania;20;57'32'';1997;
48;Filomena Pepe;21;58'17'';1997;
77;Antonio Salvi;22;58'19'';1997;
17;Generoso Della Polla;23;59'20'';1997;
34;Francesca Berardesca;24;62'00'';1997;
30;Salvatore Esposito;25;68'00'';1997;
78;Luciano Gentile;26;72'59'';1997;
79;Raffaella Tuozzolo;27;73'00'';1997;
24;Michele Bicchetti;28;80'00'';1997;
81;Mirzia Palmieri;29;-;1997;Km 7,5
80;Alice Gentile;29;-;1997;Km 7,5
58;Palmina Avossa;29;-;1997;Km 7,5
82;Fiorentino Prudente;32;Rit.;1997;
42;Danilo Merola;32;Rit.;1997;
1;Giovanni Moretto;1;36'22'';1998;
3;Canio Di Napoli;2;38'54'';1998;
11;Angelo Salerno;3;39'30'';1998;
83;Soccorso Cresta;4;42'35'';1998;
84;Enzo Raffaele;5;43'27'';1998;
70;Donato Ceres;6;45'05'';1998;
85;Italo Ricciardi;7;46'35'';1998;
14;Antonio Del Sordo;8;46'56'';1998;
71;Armando Quaresimale;9;47'28'';1998;
154;Nicola D'Auria;10;49'19'';1998;
86;Daniele Baur;11;52'04'';1998;
48;Filomena Pepe;12;56'22'';1998;
34;Francesca Berardesca;12;56'22'';1998;
87;Angelo Del Sordo;14;58'51'';1998;
15;Amato Prudente;15;59'58'';1998;
9;Michele Dell'Angelo;16;60'12'';1998;
88;Giuseppe Del Sordo;17;60'47'';1998;
89;Antonio Pasquale;18;61'33'';1998;
90;Marco Capobianco;19;62'00'';1998;
26;Antonio Carbonara;20;64'38'';1998;
47;Amato Della Vecchia;20;64'38'';1998;
73;Raffaele Palmieri;20;64'38'';1998;
30;Salvatore Esposito;20;64'38'';1998;
91;Antonio Grosso;20;64'38'';1998;
92;Edoardo Mario Marino;25;67'32'';1998;
93;Rocco Di Paolo;26;68'50'';1998;
94;Gianfranco Bruno;27;73'15'';1998;
81;Mirzia Palmieri;28;74'00'';1998;
95;Anna Della Polla;29;Rit.;1998;
97;Emma Centini;29;Rit.;1998;
98;Fabiana Capone;29;Rit.;1998;
64;Ludovico Palmieri;29;Rit.;1998;
100;Giancarlo Pepe;29;Rit.;1998;
99;Gennaro Del Sordo;29;Rit.;1998;
96;Carmine Rullo;29;Rit.;1998;
64;Ludovico Palmieri;1;35'33'';1999;
84;Enzo Raffaele;2;38'22'';1999;
11;Angelo Salerno;3;40'29'';1999;
101;Michele Iorlano;4;40'57'';1999;
85;Italo Ricciardi;5;41'28'';1999;
102;Soccorso Schiavone;6;43'07'';1999;
14;Antonio Del Sordo;7;43'13'';1999;
154;Nicola D'Auria;8;48'11'';1999;
68;Carmelo Cantillo;9;49'05'';1999;
103;Enrico Marino;10;51'58'';1999;
34;Francesca Berardesca;11;52'14'';1999;
104;Michele Maio;12;54'13'';1999;
105;Simone Palmieri;13;54'14'';1999;
51;Michela Meluzio;14;56'35'';1999;
15;Amato Prudente;15;63'00'';1999;
47;Amato Della Vecchia;16;63'05'';1999;
30;Salvatore Esposito;17;63'35'';1999;
73;Raffaele Palmieri;17;63'35'';1999;
106;Nicola Melillo;19;64'30'';1999;
107;Salvatore Dello Buono;20;64'31'';1999;
108;Liberato Meluzio;21;68'04'';1999;
24;Michele Bicchetti;22;74'37'';1999;
109;Enrico Grauli;23;-;1999;Km 7,5
110;Salvatore Angri;23;-;1999;Km 7,5
111;Gerardo Romano;25;Rit.;1999;
112;Pasquale D'Ambrosio;25;Rit.;1999;
91;Antonio Grosso;25;Rit.;1999;
64;Ludovico Palmieri;1;35'31'';2000;record
1;Giovanni Moretto;2;35'35'';2000;
3;Canio Di Napoli;3;37'30'';2000;
84;Enzo Raffaele;4;37'37'';2000;
113;Massimo Santamaria;5;38'17'';2000;
114;Claudio De Vita;6;40'12'';2000;
85;Italo Ricciardi;7;40'38'';2000;
115;Mario Fusco;8;40'46'';2000;
102;Soccorso Schiavone;9;41'00'';2000;
14;Antonio Del Sordo;10;42'21'';2000;
83;Soccorso Cresta;11;42'22'';2000;
116;Marco Garofalo;12;44'10'';2000;
117;Carmine Cuozzo;13;46'20'';2000;
65;Annibale Petoia;14;46'21'';2000;
154;Nicola D'Auria;15;46'41'';2000;
68;Carmelo Cantillo;16;48'39'';2000;
118;Gabriella Zuber;17;49'13'';2000;
51;Michela Meluzio;18;49'47'';2000;
48;Filomena Pepe;19;50'03'';2000;
119;Massimo De Stefano;20;57'38'';2000;
47;Amato Della Vecchia;21;58'36'';2000;
30;Salvatore Esposito;22;59'26'';2000;
108;Liberato Meluzio;22;59'26'';2000;
73;Raffaele Palmieri;22;59'26'';2000;
93;Rocco Di Paolo;25;60'53'';2000;
106;Nicola Melillo;26;62'23'';2000;
55;Maria Rosaria Intoccia;27;64'00'';2000;
24;Michele Bicchetti;28;73'36'';2000;
99;Gennaro Del Sordo;29;75'00'';2000;
69;Antonio Schiavone;30;Rit.;2000;
64;Ludovico Palmieri;1;37'32'';2001;
120;Gilio Iannone;2;38'50'';2001;
121;Antonio Alfano;3;38'52'';2001;
114;Claudio De Vita;4;38'53'';2001;
85;Italo Ricciardi;5;40'09'';2001;
122;Luigi Credentino;6;41'41'';2001;
123;Loredana Vento;7;42'12'';2001;n.r.f.
14;Antonio Del Sordo;8;42'48'';2001;
117;Carmine Cuozzo;9;45'24'';2001;
70;Donato Ceres;10;45'25'';2001;
154;Nicola D'Auria;11;47'51'';2001;
124;Pierlorenzo Pallante;12;50'00'';2001;
125;Pierluigi Della Vecchia;13;51'32'';2001;
119;Massimo De Stefano;14;51'42'';2001;
118;Gabriella Zuber;15;51'53'';2001;
106;Nicola Melillo;16;52'55'';2001;
48;Filomena Pepe;17;53'25'';2001;
47;Amato Della Vecchia;18;61'06'';2001;
30;Salvatore Esposito;19;62'57'';2001;
24;Michele Bicchetti;20;72'34'';2001;
126;Luciano Martinello;21;72'35'';2001;
127;Andressa Della Vecchia;22;Rit.;2001;
51;Michela Meluzio;22;Rit.;2001;
128;Pietro Carpenito;1;40'15'';2002;
129;Pasquale Pizzano;2;40'26'';2002;
85;Italo Ricciardi;3;41'48'';2002;
130;Genny D'Argenio;4;42'35'';2002;
11;Angelo Salerno;5;42'41'';2002;
123;Loredana Vento;6;43'42'';2002;
131;Michele Lanza;7;47'37'';2002;
154;Nicola D'Auria;8;48'02'';2002;
107;Salvatore Dello Buono;9;49'53'';2002;
14;Antonio Del Sordo;10;52'36'';2002;
48;Filomena Pepe;11;52'37'';2002;
119;Massimo De Stefano;12;52'53'';2002;
106;Nicola Melillo;13;53'23'';2002;
132;Vincent Bonsignore;14;54'25'';2002;
124;Pierlorenzo Pallante;15;55'25'';2002;
92;Edoardo Mario Marino;16;59'15'';2002;
133;Angela Prudente;17;81'20'';2002;
134;Giorgio Diana;18;Squ.;2002;
135;Carmelo Carbonara;19;Rit.;2002;
128;Pietro Carpenito;1;39'19'';2003;nuovo primato
136;Fernando Rinaldi;2;36'49'';2003;
137;Sergio Pallini;3;39'23'';2003;
102;Soccorso Schiavone;4;42'05'';2003;
85;Italo Ricciardi;5;42'06'';2003;
138;Angelo Lungo;6;42'07'';2003;
84;Enzo Raffaele;7;42'08'';2003;
131;Michele Lanza;8;45'45'';2003;
14;Antonio Del Sordo;9;46'09'';2003;
139;Giuseppe Castaldo;9;46'09'';2003;
119;Massimo De Stefano;11;48'19'';2003;
154;Nicola D'Auria;12;48'40'';2003;
125;Pierluigi Della Vecchia;13;50'21'';2003;
140;Vincenzo Bonsignore;14;51'33'';2003;
141;Giancarlo Cavaliere;15;51'39'';2003;
142;Gabriella Schiavone;16;52'26'';2003;
106;Nicola Melillo;17;53'05'';2003;
143;Francesco Angri;18;59'13'';2003;
44;Mario Capaldo;19;60'52'';2003;
144;Alessandro Argemandy;20;63'16'';2003;
135;Carmelo Carbonara;20;63'16'';2003;
55;Maria Rosaria Intoccia;22;67'23'';2003;
145;Ilenia Di Paolo;23;69'02'';2003;
146;Giuseppe Bonsignore;24;72'37'';2003;
133;Angela Prudente;25;80'48'';2003;
147;Clarice Cavaliere;26;95'58'';2003;
107;Salvatore Dello Buono;27;Rit.;2003;
148;Concetta Della Fortuna;28;Rit.;2003;
149;Maria Rosaria Marino;29;Rit.;2003;
1;Giovanni Moretto;1;36'42'';2004;
3;Canio Di Napoli;2;39'07'';2004;
150;Gianfranco Bianco;3;39'24'';2004;
102;Soccorso Schiavone;4;40'48'';2004;
41;Gelsomino Merola;5;41'01'';2004;
138;Angelo Lungo;6;41'11'';2004;
151;Angelo Giuliano;7;43'12'';2004;
85;Italo Ricciardi;8;43'45'';2004;
152;Vincenzo Zarrilli;9;45'13'';2004;
71;Armando Quaresimale;10;45'49'';2004;
153;Vincenzo Zabatta;11;45'58'';2004;
92;Edoardo Mario Marino;12;48'19'';2004;
154;Nicola D'Auria;13;48'57'';2004;
119;Massimo De Stefano;14;49'46'';2004;
144;Alessandro Argemandy;15;50'56'';2004;
48;Filomena Pepe;16;51'14'';2004;
142;Gabriella Schiavone;17;51'24'';2004;
51;Michela Meluzio;18;52'08'';2004;
141;Giancarlo Cavaliere;19;52'18'';2004;
155;Emilio Picariello;20;53'14'';2004;
143;Francesco Angri;21;54'05'';2004;
156;Francesco Didato;22;54'10'';2004;
157;Salvatore Colatrella;23;57'30'';2004;
135;Carmelo Carbonara;24;59'02'';2004;
158;Antonio Ceres;25;60'26'';2004;
159;Angelo Grosso;26;61'49'';2004;
55;Maria Rosaria Intoccia;27;62'15'';2004;
108;Liberato Meluzio;28;62'30'';2004;
145;Ilenia Di Paolo;29;64'30'';2004;
133;Angela Prudente;30;77'44'';2004;
160;Fabiola Dell'Angelo;31;82'20'';2004;
161;Martina Del Sordo;32;82'21'';2004;
163;Angelo Della Rocca;33;Rit.;2004;
131;Michele Lanza;33;Rit.;2004;
99;Gennaro Del Sordo;33;Rit.;2004;
162;Alessandro Russo;33;Rit.;2004;
164;Armando Muto;37;Squ.;2004;
128;Pietro Carpenito;1;35'12'';2005;
1;Giovanni Moretto;2;35'23'';2005;
165;Mario Landi;3;37'25'';2005;
151;Angelo Giuliano;4;39'39'';2005;
166;Gennaro Pappalardo;5;40'57'';2005;
167;Ferdinando Di Giacomo;6;40'57'';2005;
138;Angelo Lungo;7;41'08'';2005;
102;Soccorso Schiavone;8;41'52'';2005;
168;Antonio Galasso;9;42'31'';2005;
85;Italo Ricciardi;10;44'11'';2005;
169;Luigi Viola;11;44'19'';2005;
170;Alessandro Schiavone;12;45'09'';2005;
171;Bruno Crucito;13;45'09'';2005;
172;Antonio Vicinanza;14;45'22'';2005;
173;Mario De Gregorio;15;45'29'';2005;
174;Umberto Fortunato;16;45'45'';2005;
119;Massimo De Stefano;17;45'47'';2005;
175;Anna Senatore;18;46'22'';2005;
176;Luigi D'Aniello;19;46'23'';2005;
177;Alessandro Russomanno;20;47'39'';2005;
178;Nicola D'Auria;21;47'39'';2005;
179;Anna Grasso;22;47'39'';2005;
180;Cinzia Oliva;23;48'46'';2005;
155;Emilio Picariello;24;48'48'';2005;
48;Filomena Pepe;25;49'26'';2005;
181;Paolo Viscardi;26;49'28'';2005;
106;Nicola Melillo;27;52'10'';2005;
182;Vincent Marino;28;53'07'';2005;
183;Paolo Picariello;29;53'20'';2005;
143;Francesco Angri;30;57'38'';2005;
44;Mario Capaldo;31;60'03'';2005;
47;Amato Della Vecchia;32;60'09'';2005;
184;Vincenzo Rocchino;33;60'09'';2005;
185;Gaetano Palomba;34;Rit.;2005;
186;Fabio Cucciniello;34;Rit.;2005;
187;Michele Fortunato;34;Rit.;2005;
188;Luca Marrone;34;Rit.;2005;
189;Filomena Palomba;34;Rit.;2005;
149;Maria Rosaria Marino;34;Rit.;2005;
